# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2944.91087	2957.12319	51.93312	6.38119	136.39237	349.94545	2412.47106
6.05900	2948.67502	2958.66060	52.13508	6.41030	137.27398	352.46105	2410.38019
6.04689	2951.87571	2959.81383	52.33822	6.43962	138.16465	355.00195	2407.86940
6.03479	2954.48666	2960.58335	52.54253	6.46914	139.06451	357.56841	2404.93875
6.02268	2956.48246	2960.97007	52.74804	6.49888	139.97370	360.16073	2401.58872
6.01058	2957.91283	2960.97533	52.95473	6.52883	140.89235	362.77916	2397.82025
5.99847	2958.80177	2960.60090	53.16264	6.55900	141.82059	365.42401	2393.63468
5.98637	2959.12466	2959.84901	53.37175	6.58938	142.75855	368.09553	2389.03379
5.97426	2958.86582	2958.72229	53.58210	6.61998	143.70639	370.79402	2384.01981
5.96216	2958.14162	2957.22380	53.79367	6.65080	144.66422	373.51975	2378.59536
5.95005	2956.95715	2955.35705	54.00649	6.68184	145.63221	376.27302	2372.76349
5.93795	2955.26308	2953.12594	54.22056	6.71311	146.61050	379.05410	2366.52767
5.92584	2953.04137	2950.53479	54.43590	6.74461	147.59923	381.86328	2359.89177
5.91374	2950.41877	2947.58831	54.65251	6.77633	148.59856	384.70084	2352.86007
5.90163	2947.37387	2944.29163	54.87040	6.80829	149.60864	387.56708	2345.43722
5.88953	2943.85794	2940.65025	55.08958	6.84048	150.62963	390.46228	2337.62827
5.87742	2939.89784	2936.67003	55.31006	6.87292	151.66169	393.38673	2329.43862
5.86532	2935.59767	2932.35720	55.53186	6.90558	152.70499	396.34072	2320.87405
5.85321	2930.91467	2927.71837	55.75498	6.93850	153.75968	399.32453	2311.94068
5.84111	2925.80445	2922.76043	55.97944	6.97165	154.82594	402.33845	2302.64494
5.82900	2920.35952	2917.49063	56.20524	7.00505	155.90394	405.38278	2292.99362
5.81690	2914.61400	2911.91653	56.43239	7.03870	156.99386	408.45780	2282.99377
5.80480	2908.52425	2906.04595	56.66091	7.07261	158.09587	411.56378	2272.65278
5.79269	2902.07771	2899.88703	56.89081	7.10676	159.21016	414.70104	2261.97827
5.78059	2895.38119	2893.44814	57.12209	7.14118	160.33691	417.86983	2250.97813
5.76848	2888.40917	2886.73790	57.35477	7.17585	161.47631	421.07046	2239.66052
5.75638	2881.11596	2879.76517	57.58886	7.21079	162.62855	424.30319	2228.03378
5.74427	2873.55574	2872.53900	57.82437	7.24599	163.79384	427.56832	2216.10649
