# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2629.27238	2664.86151	26.97223	9.32442	269.07062	15.18740	2344.30684
6.05900	2634.54364	2664.03410	27.07938	9.36694	270.70086	15.37401	2341.51290
6.04689	2639.11819	2662.97445	27.18717	9.40977	272.34657	15.56428	2338.46665
6.03479	2642.94911	2661.68325	27.29561	9.45291	274.00794	15.75830	2335.16849
6.02268	2645.99107	2660.16139	27.40469	9.49635	275.68517	15.95618	2331.61900
6.01058	2648.33491	2658.40988	27.51443	9.54010	277.37847	16.15800	2327.81888
5.99847	2650.02586	2656.42994	27.62483	9.58416	279.08803	16.36390	2323.76903
5.98637	2651.02130	2654.22293	27.73589	9.62854	280.81408	16.57396	2319.47046
5.97426	2651.29395	2651.79036	27.84762	9.67324	282.55681	16.78831	2314.92438
5.96216	2651.04398	2649.13395	27.96002	9.71826	284.31646	17.00706	2310.13214
5.95005	2650.28322	2646.25552	28.07311	9.76361	286.09323	17.23035	2305.09523
5.93795	2648.93051	2643.15711	28.18688	9.80929	287.88735	17.45829	2299.81530
5.92584	2646.95593	2639.84087	28.30134	9.85530	289.69905	17.69101	2294.29417
5.91374	2644.56785	2636.30914	28.41650	9.90164	291.52855	17.92865	2288.53379
5.90163	2641.73472	2632.56440	28.53237	9.94833	293.37609	18.17136	2282.53626
5.88953	2638.38038	2628.60929	28.64894	9.99536	295.24191	18.41927	2276.30381
5.87742	2634.54464	2624.44659	28.76622	10.04273	297.12625	18.67254	2269.83885
5.86532	2630.38816	2620.07923	28.88423	10.09045	299.02935	18.93132	2263.14388
5.85321	2625.84837	2615.51030	29.00296	10.13853	300.95146	19.19577	2256.22158
5.84111	2620.85999	2610.74301	29.12242	10.18696	302.89284	19.46607	2249.07472
5.82900	2615.55544	2605.78073	29.24262	10.23575	304.85374	19.74239	2241.70624
5.81690	2609.98558	2600.62695	29.36356	10.28491	306.83442	20.02489	2234.11916
5.80480	2604.08977	2595.28529	29.48526	10.33443	308.83515	20.31379	2226.31667
5.79269	2597.84962	2589.75951	29.60771	10.38432	310.85619	20.60925	2218.30204
5.78059	2591.41109	2584.05349	29.73092	10.43459	312.89783	20.91150	2210.07866
5.76848	2584.74346	2578.17124	29.85490	10.48524	314.96033	21.22073	2201.65003
5.75638	2577.78875	2572.11685	29.97966	10.53627	317.04399	21.53716	2193.01977
5.74427	2570.61457	2565.89458	30.10520	10.58769	319.14908	21.86102	2184.19158
5.73217	2563.29504	2559.50874	30.23153	10.63950	321.27591	22.19253	2175.16926
5.72006	2555.78333	2552.96379	30.35865	10.69171	323.42477	22.53195	2165.95671
5.70796	2548.05982	2546.26426	30.48657	10.74431	325.59596	22.87953	2156.55789
5.69585	2540.23786	2539.41479	30.61530	10.79732	327.78979	23.23552	2146.97686
5.68375	2532.30044	2532.42011	30.74485	10.85073	330.00657	23.60020	2137.21776
5.67164	2524.20543	2525.28503	30.87522	10.90456	332.24661	23.97385	2127.28479
5.65954	2516.01150	2518.01445	31.00641	10.95880	334.51025	24.35677	2117.18222
5.64743	2507.75881	2510.61333	31.13845	11.01346	336.79780	24.74926	2106.91436
5.63533	2499.40925	2503.08673	31.27132	11.06855	339.10961	25.15164	2096.48562
5.62322	2490.95730	2495.43977	31.40505	11.12407	341.44600	25.56424	2085.90041
5.61112	2482.48092	2487.67761	31.53963	11.18002	343.80732	25.98741	2075.16322
5.59901	2473.97186	2479.80550	31.67508	11.23641	346.19393	26.42151	2064.27856
5.58691	2465.41713	2471.82874	31.81140	11.29325	348.60618	26.86692	2053.25100
5.57480	2456.84552	2463.75267	31.94860	11.35053	351.04443	27.32402	2042.08510
5.56270	2448.26630	2455.58269	32.08668	11.40827	353.50905	27.79321	2030.78547
5.55060	2439.67662	2447.32423	32.22567	11.46646	356.00042	28.27493	2019.35675
5.53849	2431.06486	2438.98277	32.36555	11.52512	358.51890	28.76962	2007.80358
5.52639	2422.43954	2430.56383	32.50634	11.58424	361.06490	29.27774	1996.13060
5.51428	2413.82659	2422.07295	32.64806	11.64384	363.63880	29.79977	1984.34248
5.50218	2405.25292	2413.51571	32.79070	11.70392	366.24101	30.33620	1972.44388
5.49007	2396.72523	2404.89770	32.93427	11.76448	368.87193	30.88758	1960.43944
5.47797	2388.22885	2396.22455	33.07878	11.82554	371.53197	31.45443	1948.33383
5.46586	2379.75309	2387.50190	33.22425	11.88708	374.22156	32.03735	1936.13167
5.45376	2371.30879	2378.73541	33.37067	11.94913	376.94112	32.63691	1923.83758
5.44165	2362.89486	2369.93075	33.51807	12.01168	379.69109	33.25375	1911.45617
5.42955	2354.50980	2361.09361	33.66643	12.07474	382.47190	33.88852	1898.99201
5.41744	2346.16870	2352.22967	33.81579	12.13832	385.28402	34.54190	1886.44964
5.40534	2337.87055	2343.34463	33.96613	12.20243	388.12790	35.21460	1873.83358
5.39323	2329.60997	2334.44420	34.11748	12.26706	391.00400	35.90736	1861.14831
5.38113	2321.39535	2325.53410	34.26984	12.33223	393.91279	36.62097	1848.39826
5.36902	2313.23676	2316.62002	34.42322	12.39794	396.85476	37.35625	1835.58785
5.35692	2305.14087	2307.70768	34.57763	12.46419	399.83040	38.11404	1822.72142
5.34481	2297.09567	2298.80279	34.73307	12.53100	402.84021	38.89524	1809.80327
5.33271	2289.09215	2289.91107	34.88956	12.59837	405.88468	39.70078	1796.83766
5.32060	2281.12833	2281.03822	35.04712	12.66630	408.96435	40.53165	1783.82880
5.30850	2273.19543	2272.18996	35.20573	12.73481	412.07972	41.38887	1770.78083
5.29640	2265.28592	2263.37199	35.36542	12.80390	415.23134	42.27351	1757.69782
5.28429	2257.39751	2254.59003	35.52620	12.87357	418.41974	43.18670	1744.58382
5.27219	2249.58808	2245.84978	35.68808	12.94384	421.64547	44.12961	1731.44278
5.26008	2241.79963	2237.15696	35.85106	13.01471	424.90911	45.10350	1718.27859
5.24798	2233.91475	2228.51728	36.01515	13.08618	428.21121	46.10964	1705.09510
5.23587	2225.88416	2219.93646	36.18037	13.15827	431.55236	47.14939	1691.89606
5.22377	2217.81464	2211.42021	36.34673	13.23098	434.93314	48.22419	1678.68517
5.21166	2209.82638	2202.97428	36.51424	13.30431	438.35416	49.33551	1665.46605
5.19956	2201.88521	2194.60439	36.68290	13.37829	441.81603	50.48493	1652.24225
5.18745	2193.94945	2186.31631	36.85272	13.45290	445.31936	51.67408	1639.01724
5.17535	2186.00206	2178.11581	37.02373	13.52817	448.86479	52.90468	1625.79443
5.16324	2178.01369	2170.00866	37.19593	13.60410	452.45296	54.17852	1612.57715
