# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	3013.47738	3013.14782	40.66816	13.50475	162.46317	290.64587	2505.86587
6.05900	3017.37715	3017.82070	40.82934	13.56589	163.53768	292.84331	2507.04447
6.04689	3021.30121	3021.99021	40.99148	13.62746	164.62348	295.06456	2507.68323
6.03479	3025.23450	3025.65275	41.15458	13.68946	165.72075	297.30989	2507.77808
6.02268	3029.16313	3028.80540	41.31866	13.75189	166.82964	299.57960	2507.32560
6.01058	3033.15906	3031.44591	41.48372	13.81477	167.95033	301.87399	2506.32310
5.99847	3037.20897	3033.57275	41.64976	13.87810	169.08298	304.19337	2504.76854
5.98637	3041.22386	3035.18510	41.81680	13.94187	170.22777	306.53804	2502.66061
5.97426	3044.69807	3036.28286	41.98484	14.00610	171.38488	308.90831	2499.99873
5.96216	3042.02688	3036.86666	42.15390	14.07079	172.55448	311.30448	2496.78301
5.95005	3035.21720	3036.93785	42.32397	14.13594	173.73676	313.72687	2493.01430
5.93795	3029.13172	3036.49852	42.49508	14.20156	174.93191	316.17580	2488.69417
5.92584	3027.66758	3035.55149	42.66722	14.26765	176.14011	318.65158	2483.82493
5.91374	3028.04598	3034.10031	42.84040	14.33422	177.36156	321.15453	2478.40959
5.90163	3028.71434	3032.14923	43.01464	14.40127	178.59646	323.68498	2472.45189
5.88953	3028.73782	3029.70324	43.18994	14.46881	179.84500	326.24324	2465.95624
5.87742	3027.80730	3026.76799	43.36631	14.53684	181.10739	328.82966	2458.92780
5.86532	3026.38336	3023.34987	43.54376	14.60536	182.38385	331.44455	2451.37236
5.85321	3023.81872	3019.45590	43.72229	14.67439	183.67457	334.08825	2443.29640
5.84111	3019.41939	3015.09376	43.90193	14.74392	184.97978	336.76109	2434.70705
5.82900	3012.40058	3010.27179	44.08266	14.81397	186.29970	339.46340	2425.61206
5.81690	3003.91261	3004.99891	44.26452	14.88453	187.63455	342.19553	2416.01979
5.80480	2995.77490	2999.28466	44.44749	14.95561	188.98456	344.95780	2405.93920
5.79269	2989.46939	2993.13913	44.63160	15.02722	190.34996	347.75057	2395.37978
5.78059	2984.15444	2986.57296	44.81686	15.09937	191.73099	350.57416	2384.35158
5.76848	2978.98165	2979.59728	45.00326	15.17205	193.12790	353.42892	2372.86515
5.75638	2973.23695	2972.22374	45.19083	15.24527	194.54092	356.31520	2360.93152
5.74427	2966.32487	2964.46442	45.37957	15.31904	195.97031	359.23333	2348.56216
5.73217	2958.27687	2956.33181	45.56948	15.39337	197.41633	362.18366	2335.76897
5.72006	2949.31889	2947.83883	45.76059	15.46826	198.87923	365.16653	2322.56422
5.70796	2938.99414	2938.99873	45.95290	15.54371	200.35929	368.18228	2308.96054
5.69585	2924.86009	2929.82509	46.14642	15.61974	201.85677	371.23126	2294.97090
5.68375	2909.81304	2920.33179	46.34116	15.69634	203.37196	374.31380	2280.60853
5.67164	2897.53445	2910.53296	46.53713	15.77353	204.90512	377.43026	2265.88693
5.65954	2890.80605	2900.44298	46.73435	15.85130	206.45655	380.58096	2250.81981
5.64743	2886.58504	2890.07639	46.93281	15.92968	208.02655	383.76625	2235.42110
5.63533	2880.02338	2879.44792	47.13254	16.00865	209.61541	386.98646	2219.70485
5.62322	2868.46108	2868.57240	47.33354	16.08824	211.22343	390.24193	2203.68526
5.61112	2856.39460	2857.46479	47.53582	16.16844	212.85093	393.53299	2187.37661
5.59901	2844.27966	2846.14009	47.73940	16.24926	214.49823	396.85997	2170.79323
5.58691	2832.11527	2834.61334	47.94429	16.33071	216.16564	400.22319	2153.94952
5.57480	2819.89690	2822.89959	48.15049	16.41279	217.85350	403.62298	2136.85983
5.56270	2807.67953	2811.01385	48.35802	16.49551	219.56214	407.05964	2119.53853
5.55060	2795.53167	2798.97110	48.56689	16.57889	221.29192	410.53350	2101.99990
5.53849	2784.54626	2786.78622	48.77711	16.66292	223.04316	414.04486	2084.25817
5.52639	2774.61563	2774.47400	48.98870	16.74761	224.81625	417.59402	2066.32743
5.51428	2764.13422	2762.04910	49.20165	16.83297	226.61153	421.18127	2048.22167
5.50218	2752.29874	2749.52601	49.41600	16.91901	228.42939	424.80690	2029.95472
5.49007	2740.20215	2736.91908	49.63174	17.00573	230.27019	428.47120	2011.54021
5.47797	2727.95673	2724.24242	49.84890	17.09315	232.13434	432.17443	1992.99161
5.46586	2715.56597	2711.50995	50.06747	17.18126	234.02222	435.91685	1974.32215
5.45376	2702.94204	2698.73538	50.28749	17.27008	235.93424	439.69872	1955.54485
5.44165	2690.36482	2685.93213	50.50895	17.35962	237.87080	443.52029	1936.67247
5.42955	2678.22351	2673.11337	50.73187	17.44988	239.83234	447.38177	1917.71752
5.41744	2667.09238	2660.29201	50.95626	17.54087	241.81928	451.28339	1898.69222
5.40534	2656.30872	2647.48065	51.18214	17.63259	243.83205	455.22535	1879.60850
5.39323	2645.01396	2634.69158	51.40952	17.72507	245.87112	459.20786	1860.47802
5.38113	2633.22564	2621.93680	51.63842	17.81830	247.93692	463.23107	1841.31209
5.36902	2620.90650	2609.22798	51.86884	17.91229	250.02994	467.29516	1822.12176
